vecino,dia
787,204
804,204
830,204
836,204
791,205
808,205
816,205
828,205
803,206
819,206
829,206
837,206
805,207
817,207
827,207
858,207
811,208
831,208
834,208
835,208
812,209
822,209
838,209
840,209
823,210
839,210
841,210
843,210
825,211
845,211
863,211
867,211
826,212
847,212
852,212
872,212
832,213
850,213
854,213
878,213
833,214
842,214
868,214
883,214
844,215
849,215
856,215
866,215
846,216
853,216
873,216
880,216
848,217
869,217
874,217
877,217
851,218
855,218
864,218
892,218
857,219
862,219
871,219
915,219
859,220
865,220
894,220
895,220
860,221
870,221
881,221
882,221
861,222
876,222
884,222
885,222
875,223
886,223
898,223
927,223
879,224
888,224
899,224
947,224
887,225
889,225
903,225
905,225
890,226
897,226
906,226
908,226
891,227
902,227
914,227
917,227
893,228
904,228
909,228
922,228
896,229
910,229
912,229
924,229
900,230
918,230
925,230
929,230
901,231
913,231
928,231
945,231
907,232
919,232
930,232
931,232
911,233
921,233
935,233
951,233
916,234
923,234
932,234
936,234
920,235
933,235
939,235
953,235
926,236
934,236
941,236
964,236
937,237
942,237
943,237
969,237
938,238
946,238
959,238
972,238
940,239
952,239
957,239
944,240
948,240
955,240
949,241
956,241
960,241
950,242
958,242
967,242
954,243
962,243
973,243
961,244
963,244
971,244
965,245
968,245
974,245
966,246
975,246
977,246
970,247
976,247
981,247
978,248
980,248
984,248
979,249
983,249
986,249
982,250
985,250
988,250
987,251
989,251
990,251
991,252
992,252
993,252
994,253
995,253
997,253
996,254
998,254
999,254
